0,1,2,3,4,5,6,7,8,9
U16954_at,M31303_rna1_at,X00371_rna1_at,V01515_cds1_at,J03191_at,D42041_at,D14662_at,X76105_at,U79294_at,M16447_at
931,724,29,29,338,178,243,164,99,89
845,579,20,23,198,103,228,62,150,88
1107,608,20,25,197,182,185,80,86,106
1187,619,28,21,365,249,238,183,113,78
969,676,33,20,195,200,173,82,114,75
1172,651,41,22,73,191,138,208,87,102
1010,751,22,35,64,128,279,54,158,52
588,243,39,50,130,118,52,20,128,20
928,927,42,43,96,104,52,20,141,30
469,927,41,51,269,116,113,20,124,35
579,606,44,45,20,76,143,20,77,34
1237,871,53,46,133,94,57,20,88,44
812,1066,32,24,90,90,37,33,134,45
649,568,64,39,135,132,98,20,183,24
70,466,46,32,878,195,132,86,170,32
1032,746,38,22,223,165,112,50,111,42
880,472,39,35,365,198,196,84,137,38
984,581,37,36,367,170,151,82,100,47
1159,604,43,38,181,200,170,27,131,57
1108,908,34,38,305,99,73,29,173,34
740,699,39,25,219,113,125,20,172,24
1443,964,51,51,28,90,104,20,83,29
808,732,42,45,20,72,91,20,391,32
945,830,20,43,20,105,105,20,297,33
861,1093,20,20,113,94,65,20,20,20
981,515,48,42,122,257,153,56,85,75
378,634,26,45,274,66,110,20,170,42
626,534,52,45,176,205,191,66,102,36
1102,830,44,28,237,108,135,49,104,40
387,467,40,52,155,273,203,93,160,48
682,1106,26,20,20,84,86,20,379,20
747,842,47,61,51,115,102,20,74,35
407,573,42,46,309,221,215,45,114,83
699,576,64,26,112,113,41,40,109,44
874,696,59,49,106,197,187,49,200,89
872,791,40,43,196,148,134,108,86,70
848,631,42,42,309,277,177,87,92,97
1069,819,44,41,20,137,116,108,129,69
786,751,37,46,126,162,172,20,95,50
337,183,69,69,30,110,42,20,91,70
276,250,61,61,112,156,202,20,246,77
169,225,74,56,121,113,179,20,461,82
309,265,60,57,320,169,222,66,302,117
486,167,70,66,20,145,136,20,156,109
177,93,66,64,47,84,85,20,148,34
222,267,69,61,105,100,505,20,403,74
607,452,39,27,721,329,281,93,168,84
108,275,26,37,1132,323,197,85,142,37
211,395,36,45,924,339,340,72,104,40
455,508,33,63,881,347,312,57,104,101
261,515,27,38,754,436,329,76,104,58
54,404,40,20,1029,376,292,101,101,65
71,187,35,31,739,314,306,134,704,42
75,263,41,22,154,221,434,206,323,45
46,226,37,42,73,219,373,154,254,36
114,288,32,27,416,246,582,298,298,97
191,428,20,26,605,251,395,206,383,108
434,608,22,23,458,263,366,171,291,111
155,381,35,30,120,303,537,243,307,51
176,193,31,38,306,221,327,183,378,70
323,329,20,25,237,147,445,164,671,105
49,226,32,27,353,274,579,121,550,134
320,287,26,22,580,222,431,205,559,113
335,301,32,21,375,215,198,132,976,231
352,343,35,20,246,221,309,118,911,253
329,277,43,24,257,209,249,101,857,228
313,256,31,21,292,173,294,117,781,220
287,271,33,24,259,163,285,92,887,233
269,228,39,28,263,187,356,83,887,200
