0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
U16954_at,M31303_rna1_at,U79262_at,D80004_at,D50310_at,Z69915_at,X00371_rna1_at,V01515_cds1_at,M20137_at,D85815_at,U17760_rna1_at,L25270_at,J03191_at,D42041_at,M57464_s_at,HG3514-HT3708_at,X54304_at,D45248_at,D14662_at,X76105_at,U07550_at,D00763_at,U06155_at,L36818_at,U79294_at,M16447_at,D25304_at,D13631_s_at,M93426_at,U51336_at
931,724,179,592,989,160,29,29,117,175,54,22,338,178,293,273,123,141,243,164,390,491,59,105,99,89,270,21,20,492
845,579,192,317,1120,172,20,23,75,155,41,21,198,103,192,231,123,84,228,62,302,350,52,60,150,88,250,54,81,419
1107,608,215,387,1232,184,20,25,68,155,39,22,197,182,73,415,125,201,185,80,272,378,41,25,86,106,140,20,85,238
1187,619,187,312,1132,164,28,21,101,136,20,21,365,249,111,335,176,143,238,183,378,476,63,55,113,78,167,31,40,268
969,676,263,370,1030,157,33,20,83,155,46,25,195,200,32,341,124,177,173,82,191,326,58,40,114,75,141,20,205,214
1172,651,233,278,814,158,41,22,24,134,53,21,73,191,38,432,145,174,138,208,245,337,71,34,87,102,120,20,71,200
1010,751,252,281,703,186,22,35,99,143,57,26,64,128,52,416,95,199,279,54,423,311,63,61,158,52,110,20,97,252
588,243,173,197,1034,184,39,50,143,337,114,53,130,118,161,84,45,42,52,20,20,151,20,32,128,20,77,20,20,228
928,927,200,199,1321,124,42,43,93,377,115,30,96,104,108,303,92,27,52,20,61,65,20,20,141,30,56,20,22,199
469,927,154,291,716,159,41,51,165,344,101,41,269,116,315,212,20,21,113,20,20,171,22,31,124,35,109,20,28,277
579,606,170,68,745,56,44,45,121,333,126,46,20,76,331,129,35,20,143,20,97,68,20,20,77,34,76,20,40,173
1237,871,299,320,956,154,53,46,149,334,124,20,133,94,57,190,37,87,57,20,20,93,20,20,88,44,26,20,25,240
812,1066,298,314,984,127,32,24,102,260,91,42,90,90,131,137,53,90,37,33,124,68,20,20,134,45,20,20,84,254
649,568,261,157,1307,85,64,39,105,304,103,46,135,132,123,210,20,42,98,20,119,63,20,20,183,24,27,20,35,207
70,466,131,55,571,64,46,32,123,292,68,32,878,195,231,338,344,201,132,86,293,156,29,109,170,32,62,20,30,207
1032,746,215,307,2082,396,38,22,160,254,49,31,223,165,277,227,57,39,112,50,143,132,20,30,111,42,87,20,20,302
880,472,142,321,838,167,39,35,112,224,65,25,365,198,176,324,180,109,196,84,214,263,43,95,137,38,212,34,20,462
984,581,171,322,1132,185,37,36,86,190,57,26,367,170,186,213,78,82,151,82,194,245,36,48,100,47,197,20,22,446
1159,604,185,235,1434,166,43,38,121,197,52,33,181,200,119,253,51,114,170,27,246,201,32,54,131,57,120,20,76,262
1108,908,178,296,1479,178,34,38,80,267,93,45,305,99,188,214,65,88,73,29,209,95,20,24,173,34,66,20,46,216
740,699,222,270,1182,183,39,25,114,260,51,41,219,113,67,232,72,149,125,20,91,114,20,52,172,24,85,28,226,296
1443,964,315,278,957,215,51,51,97,297,89,42,28,90,99,216,60,36,104,20,179,64,20,22,83,29,35,20,22,192
808,732,120,349,1008,140,42,45,117,285,73,45,20,72,73,162,46,25,91,20,123,92,23,33,391,32,66,20,45,199
945,830,101,169,435,90,20,43,86,265,81,35,20,105,25,110,20,49,105,20,79,95,24,20,297,33,20,20,42,79
861,1093,152,415,569,139,20,20,106,249,80,49,113,94,22,250,20,25,65,20,67,78,33,30,20,20,20,20,105,143
981,515,259,173,831,278,48,42,140,190,62,36,122,257,77,297,86,120,153,56,142,204,52,59,85,75,111,20,166,169
378,634,186,65,1030,109,26,45,147,253,64,27,274,66,690,135,48,51,110,20,308,147,26,27,170,42,205,20,43,275
626,534,219,224,927,152,52,45,148,247,100,35,176,205,287,202,92,43,191,66,308,320,51,69,102,36,233,20,25,212
1102,830,196,387,996,193,44,28,113,274,90,40,237,108,96,372,61,100,135,49,70,127,20,36,104,40,84,20,114,152
387,467,111,183,713,160,40,52,133,263,73,38,155,273,130,271,71,131,203,93,122,131,49,72,160,48,136,20,20,124
682,1106,147,100,982,162,26,20,139,244,36,49,20,84,26,205,58,20,86,20,64,69,20,20,379,20,47,36,88,84
747,842,137,198,799,114,47,61,98,277,80,44,51,115,20,123,31,70,102,20,109,63,20,54,74,35,22,20,49,167
407,573,189,300,1669,216,42,46,132,232,67,36,309,221,308,449,100,141,215,45,362,254,35,102,114,83,176,20,23,331
699,576,148,418,883,149,64,26,83,273,67,49,112,113,268,178,33,47,41,40,144,70,20,45,109,44,214,20,20,168
874,696,204,320,1243,191,59,49,126,229,72,39,106,197,262,214,27,82,187,49,225,276,23,90,200,89,191,20,122,254
872,791,208,385,1463,122,40,43,88,203,69,32,196,148,210,250,77,96,134,108,255,220,55,64,86,70,180,20,20,329
848,631,185,353,848,210,42,42,102,226,64,27,309,277,175,216,69,116,177,87,237,226,20,63,92,97,153,20,20,238
1069,819,171,159,1087,222,44,41,117,216,71,47,20,137,41,328,62,94,116,108,79,100,41,59,129,69,98,20,87,156
786,751,200,258,1150,250,37,46,113,248,69,39,126,162,206,356,126,97,172,20,230,142,20,35,95,50,163,20,72,106
337,183,125,97,621,92,69,69,209,380,123,52,30,110,121,73,20,43,42,20,91,72,20,46,91,70,149,36,769,216
276,250,103,23,478,76,61,61,189,359,110,49,112,156,128,207,68,35,202,20,174,136,20,84,246,77,235,98,425,150
169,225,91,50,287,30,74,56,198,373,122,52,121,113,78,83,20,40,179,20,45,26,20,64,461,82,185,40,331,759
309,265,146,64,365,42,60,57,188,316,110,48,320,169,165,237,155,152,222,66,198,163,50,72,302,117,296,99,569,167
486,167,138,91,388,81,70,66,172,382,123,55,20,145,68,178,20,37,136,20,133,68,38,65,156,109,214,63,784,249
177,93,125,54,324,43,66,64,176,349,139,52,47,84,109,54,20,21,85,20,57,60,27,85,148,34,165,44,315,239
222,267,85,53,421,51,69,61,172,382,119,44,105,100,84,108,20,41,505,20,150,67,20,97,403,74,299,84,355,367
